,duration,amount,installment_rate,age,residence_time,existing_credits,people_liable,credit_history_A31,credit_history_A34,housing_A152,savings_A64,employment_A72,status_A14
duration,1.0,0.6249841983009851,0.07474881629117033,-0.03613637401909835,0.03406720161114831,-0.011283597446143033,-0.023834475397621752,0.03372766822989089,-0.07557469891975237,-0.0751692492915072,-0.048261229772131285,-0.05679165936764783,-0.06346680027438491
amount,0.6249841983009851,1.0,-0.271315701246002,0.032716416665448014,0.028926323080232533,0.020794551748965877,0.017142154158463888,0.005923082817688465,-0.041806607313392426,-0.11749726455770264,-0.05554163473084242,-0.05150155865805966,-0.03948479690452806
installment_rate,0.07474881629117033,-0.271315701246002,1.0,0.0582656843514099,0.04930237081388658,0.0216687425713283,-0.0712069430082334,0.030338818004065307,0.04108934384011461,0.04992186363940604,0.034707838789358826,-0.03402138415880756,0.02496112666959578
age,-0.03613637401909835,0.032716416665448014,0.0582656843514099,1.0,0.26641918396946096,0.14925358219009058,0.11820083281906714,0.014360497948925733,0.16368132589427992,0.006552664340659187,0.03200691416439527,-0.20996695050748646,0.062436390813956945
residence_time,0.03406720161114831,0.028926323080232533,0.04930237081388658,0.26641918396946096,1.0,0.08962523262254277,0.04264342597522536,0.027693999054312923,0.08845967124505283,-0.2975473191179945,-0.0023746964650772735,-0.16415524145616714,0.0019849909283614305
existing_credits,-0.011283597446143033,0.020794551748965877,0.0216687425713283,0.14925358219009058,0.08962523262254277,1.0,0.10966670041593389,-0.09582399049949099,0.5013637491364769,0.041385568221116414,0.03616880931346346,-0.09639882417570701,0.09443468148226068
people_liable,-0.023834475397621752,0.017142154158463888,-0.0712069430082334,0.11820083281906714,0.04264342597522536,0.10966670041593389,1.0,0.06918519928545738,0.021764637559539318,-0.02757895700598116,-0.005687473420267618,-0.048764147222449296,0.010913867639032375
credit_history_A31,0.03372766822989089,0.005923082817688465,0.030338818004065307,0.014360497948925733,0.027693999054312923,-0.09582399049949099,0.06918519928545738,1.0,-0.1461274766253386,-0.06079852415054855,0.014042602886015566,0.007021474750790886,-0.09770514118839654
credit_history_A34,-0.07557469891975237,-0.041806607313392426,0.04108934384011461,0.16368132589427992,0.08845967124505283,0.5013637491364769,0.021764637559539318,-0.1461274766253386,1.0,0.08301149661073581,0.06101144097310804,-0.11292478347900226,0.1688785601470426
housing_A152,-0.0751692492915072,-0.11749726455770264,0.04992186363940604,0.006552664340659187,-0.2975473191179945,0.041385568221116414,-0.02757895700598116,-0.06079852415054855,0.08301149661073581,1.0,0.028707452546657665,-0.021298978218306133,0.10440661911946267
savings_A64,-0.048261229772131285,-0.05554163473084242,0.034707838789358826,0.03200691416439527,-0.0023746964650772735,0.03616880931346346,-0.005687473420267618,0.014042602886015566,0.06101144097310804,0.028707452546657665,1.0,-0.01556937412528824,0.058284238664073194
employment_A72,-0.05679165936764783,-0.05150155865805966,-0.03402138415880756,-0.20996695050748646,-0.16415524145616714,-0.09639882417570701,-0.048764147222449296,0.007021474750790886,-0.11292478347900226,-0.021298978218306133,-0.01556937412528824,1.0,-0.10720101998400512
status_A14,-0.06346680027438491,-0.03948479690452806,0.02496112666959578,0.062436390813956945,0.0019849909283614305,0.09443468148226068,0.010913867639032375,-0.09770514118839654,0.1688785601470426,0.10440661911946267,0.058284238664073194,-0.10720101998400512,1.0
